Cod_setor,Situacao,Tipo_do_setor,V2248,V2249,V2250,V2251,V2252,V2253,V2254,V2255,V2256,V2257,V2258,V2259,V2260,V2261,V2262,V2263,V2264,V2265,V2266,V2267,V2268,V2269,V2270,V2271,V2272,V2273,V2274,V2275,V2276,V2277,V2278,V2279,V2280,V2281,V2282,V2283,V2284,V2285,V2286,V2287,V2288,V2289,V2290,V2291,V2292,V2293,V2294,V2295,V2296,V2297,V2298,V2299,V2300,V2301,V2302,V2303,V2304,V2305,V2306,V2307,V2308,V2309,V2310,V2311,V2312,V2313,V2314,V2315,V2316,V2317,V2318,V2319,V2320,V2321,V2322,V2323,V2324,V2325,V2326,V2327,V2328,V2329,V2330,V2331,V2332,V2333,V2334,V2335,V2336,V2337,V2338,V2339,V2340,V2341,V2342,V2343,V2344,V2345,V2346,V2347,V2348,V2349,V2350,V2351,V2352,V2353,V2354,V2355,V2356,V2357,V2358,V2359,V2360,V2361,V2362,V2363,V2364,V2365,V2366,V2367,V2368,V2369,V2370,V2371,V2372,V2373,V2374,V2375,V2376,V2377,V2378,V2379,V2380,V2381,V2382,V2383,V2384,V2385,V2386,V2387,V2388,V2389,V2390,V2391,V2392,V2393,V2394,V2395,V2396,V2397,V2398,V2399,V2400,V2401,V2402,V2403,V2404,V2405,V2406,V2407,V2408,V2409,V2410,V2411,V2412,V2413,V2414,V2415,V2416,V2417,V2418,V2419,V2420,V2421,V2422,V2423,V2424,V2425,V2426,V2427,V2428,V2429,V2430,V2431,V2432,V2433
250400905000284,1,0,841,87,1,9,11,20,13,16,19,25,19,34,24,25,23,41,25,31,16,19,18,21,15,11,13,13,13,21,14,16,13,16,15,13,21,12,13,18,15,11,13,12,12,11,11,5,10,11,9,7,3,9,7,5,4,3,2,5,2,3,4,0,0,3,1,1,2,1,1,1,1,3,1,1,0,2,1,1,54,113,138,105,65,80,74,69,49,39,21,14,7,7,5,1,11,10,5,2,0,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,1,1,1,0,2,0,0,0,1,1,2,1,0,1,1,2,1,2,1,0,1,0,2,2,0,2,0,0,3,1,2,0,2,3,4,1,1,1,0,0,0,0,0,1,2,28,5,2,0,3,3,3,3,5,7,5,5,8,7,1,2
250400905000285,1,0,1029,130,5,9,14,34,17,29,31,31,31,38,33,32,28,31,41,40,16,25,16,12,11,16,22,13,7,13,16,17,22,14,18,17,31,18,29,28,18,17,10,14,13,11,6,15,9,6,7,8,2,9,3,2,10,4,0,6,2,5,3,3,5,4,1,0,2,2,3,1,3,2,5,2,0,0,3,8,79,160,165,109,69,82,113,87,54,32,19,19,12,11,10,8,18,8,5,1,3,0,2,0,1,0,0,0,1,1,0,2,3,2,1,0,2,1,0,1,1,0,4,3,0,2,2,2,1,1,1,1,0,1,0,4,0,1,2,1,4,3,3,2,5,3,3,3,1,0,1,0,0,2,0,0,3,1,2,1,3,3,2,1,0,0,0,0,0,1,1,3,35,3,2,8,5,9,7,6,8,16,8,2,10,6,2,3
250400905000286,1,0,1059,128,4,14,17,16,28,26,28,31,39,33,34,40,28,32,30,32,31,22,23,15,24,17,15,12,16,13,24,21,19,21,17,15,20,12,16,25,23,19,20,16,12,15,6,13,13,9,6,10,4,7,12,5,6,4,4,8,0,3,1,1,3,1,1,5,4,2,0,0,2,5,0,1,0,1,0,7,79,157,164,123,84,98,80,103,59,36,31,13,14,9,2,7,13,10,2,3,1,3,0,1,1,1,0,0,1,0,1,0,0,1,2,2,0,2,1,2,1,0,0,2,0,0,3,0,1,4,0,0,2,1,3,2,4,3,3,0,3,5,2,2,4,1,2,0,5,0,1,3,2,1,0,0,4,0,1,0,0,0,4,1,0,0,0,2,3,1,2,3,29,6,2,5,6,2,8,8,13,14,8,6,5,5,8,3
250400905000287,1,0,1051,173,3,21,26,27,30,33,32,35,23,36,22,32,22,28,14,23,18,14,24,17,22,27,29,26,26,24,31,34,42,25,23,26,18,25,21,12,19,8,16,15,8,12,5,8,14,4,2,4,4,3,2,4,1,3,2,0,2,4,3,1,3,2,0,1,0,0,0,1,3,2,1,0,0,1,0,2,107,159,118,96,130,156,113,70,47,17,12,10,6,6,2,2,33,22,8,6,0,3,2,3,1,0,0,0,1,1,2,2,0,2,2,1,0,1,1,2,3,3,2,2,4,2,2,3,3,1,2,0,0,2,2,1,0,0,3,2,0,3,4,4,3,0,2,2,4,1,0,2,0,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,7,69,9,4,7,7,13,11,5,5,14,9,4,7,0,2,7
250400905000288,1,0,788,215,3,17,12,19,25,18,24,25,24,19,20,33,11,17,21,28,17,29,28,22,31,33,27,25,23,18,16,15,18,19,18,17,10,14,9,15,9,4,4,5,7,5,3,2,1,1,1,1,1,4,2,1,1,3,2,3,0,0,0,0,2,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,76,110,102,124,139,86,68,37,18,8,9,3,6,1,1,0,31,19,20,8,3,5,1,5,0,0,2,0,2,2,4,0,2,0,3,3,1,3,5,4,2,2,4,3,4,5,1,2,1,3,1,5,2,0,4,1,1,4,1,2,1,2,3,3,2,3,0,3,2,1,4,3,1,0,1,2,1,1,0,1,1,0,3,1,0,1,2,0,0,0,0,2,81,11,10,8,15,18,8,12,9,13,10,7,4,5,2,2
250400905000289,1,0,686,95,5,11,13,12,16,19,21,15,15,18,13,14,8,13,20,9,21,23,27,22,29,29,26,22,22,15,20,23,16,15,14,20,9,12,11,5,8,7,6,5,4,7,3,5,7,6,2,2,3,2,2,1,2,1,3,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,57,88,68,102,128,89,66,31,26,15,9,2,2,2,0,1,21,16,7,5,3,1,0,1,2,0,0,0,3,0,1,0,0,1,0,0,1,0,3,2,1,0,1,3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,3,1,1,2,2,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,52,4,4,1,7,4,3,1,0,9,1,1,3,0,0,5
250400905000290,1,0,772,138,3,9,23,18,22,15,27,22,13,21,18,10,13,17,15,15,15,15,18,21,19,20,22,21,27,21,26,29,25,22,27,21,22,14,20,11,11,5,7,11,3,3,3,1,5,5,5,4,2,6,1,0,0,1,2,1,0,1,2,0,1,4,0,2,1,1,1,0,0,1,1,1,0,0,1,2,75,98,73,84,109,123,104,45,15,22,4,4,8,3,3,2,32,23,7,5,2,3,4,2,0,1,0,1,2,0,2,2,1,1,1,1,1,0,1,1,2,5,1,1,2,0,1,3,3,2,1,0,0,2,1,1,0,0,2,0,2,0,1,1,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,69,10,5,6,5,9,10,4,4,5,3,2,2,1,2,1
250400905000291,1,0,928,123,4,16,34,27,19,24,37,29,22,26,21,21,17,16,12,13,21,15,17,12,18,12,34,14,24,29,35,33,28,22,32,27,26,20,25,23,6,7,12,9,8,6,4,2,11,5,3,5,4,4,7,2,4,2,1,3,2,3,1,2,1,1,0,1,2,1,0,0,0,0,1,1,0,0,0,2,100,138,87,78,102,147,130,57,31,21,16,11,5,1,2,2,31,18,8,8,3,2,2,1,1,0,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,2,2,0,2,1,1,2,1,0,1,2,0,0,2,2,1,0,0,0,1,0,2,1,0,1,1,2,0,1,1,0,0,3,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,3,68,6,0,3,4,6,5,5,3,4,5,5,3,1,2,3
250400905000292,1,0,865,117,5,17,24,24,34,16,27,17,19,22,14,17,16,21,16,13,20,16,12,28,17,23,20,24,21,37,24,28,24,21,24,24,27,20,13,23,8,9,8,4,10,4,4,8,3,3,2,3,3,4,6,3,5,2,1,1,2,4,2,0,3,2,2,2,3,2,0,1,0,1,0,0,0,0,0,2,104,101,84,89,105,134,108,52,29,15,17,9,12,4,0,2,29,15,11,4,0,2,1,2,1,0,0,1,0,0,1,0,1,0,0,1,2,0,1,1,0,1,0,0,2,1,2,3,1,1,2,2,0,1,0,0,2,0,1,1,1,1,0,2,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,4,0,0,3,59,6,2,2,4,4,9,3,5,4,5,3,1,3,4,3
250400905000293,1,0,788,122,2,14,12,23,23,20,22,18,29,19,23,18,26,18,18,10,19,21,22,16,19,15,18,18,18,16,21,19,10,11,25,13,14,17,19,14,16,12,8,8,9,14,6,8,7,5,4,8,4,2,1,4,1,2,1,4,1,3,1,5,1,0,1,2,0,0,2,1,1,2,0,0,1,1,0,2,74,108,103,88,88,77,88,58,44,23,9,14,4,6,2,2,26,10,9,8,4,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,2,2,3,0,0,4,0,1,0,4,2,1,2,0,3,1,3,1,1,0,1,1,2,2,1,3,1,0,0,0,2,0,1,1,1,0,2,0,1,0,0,0,1,0,1,0,0,3,57,3,2,2,3,5,7,8,9,4,9,2,5,1,2,3
