cod_setor,UF,municipio,urbano,num_residentes,num_brancos,num_pretos,num_amarelos,num_pardos,num_indigenas,alfabetizados,n_alfabetizados,porc_brancos,porc_pretos,porc_amarelos,porc_pardos,porc_indigenas,porc_alfabetizados,porc_brancos_amarelos,porc_indigenas_pardos_pretos
250010605000001,Paraiba,ÁGUA BRANCA,Urbano,1528,667,10,1,849,1,506,348,0.43651832460732987,0.006544502617801047,6.544502617801048e-4,0.555628272251309,6.544502617801048e-4,0.5925058548009368,0.43717277486911,0.5628272251308901
250010605000002,Paraiba,ÁGUA BRANCA,Urbano,500,235,6,5,253,1,782,270,0.47,0.012,0.01,0.506,0.002,0.7433460076045627,0.48,0.52
250010605000003,Paraiba,ÁGUA BRANCA,Urbano,889,450,19,2,418,0,702,200,0.5061867266591676,0.021372328458942633,0.0022497187851518562,0.4701912260967379,0,0.7782705099778271,0.5084364454443195,0.49156355455568057
250010605000004,Paraiba,ÁGUA BRANCA,Rural,860,303,6,10,541,0,627,586,0.35232558139534886,0.0069767441860465115,0.011627906976744186,0.6290697674418605,0,0.5169002473206925,0.36395348837209307,0.636046511627907
250010605000005,Paraiba,ÁGUA BRANCA,Rural,667,225,7,12,423,0,339,226,0.3373313343328336,0.010494752623688156,0.017991004497751123,0.6341829085457271,0,0.6,0.3553223388305847,0.6446776611694153
250010605000006,Paraiba,ÁGUA BRANCA,Rural,604,226,6,6,366,0,224,104,0.3741721854304636,0.009933774834437087,0.009933774834437087,0.6059602649006622,0,0.6829268292682927,0.3841059602649007,0.6158940397350994
250010605000007,Paraiba,ÁGUA BRANCA,Rural,371,117,7,1,246,0,242,62,0.31536388140161725,0.018867924528301886,0.0026954177897574125,0.6630727762803235,0,0.7960526315789473,0.31805929919137466,0.6819407008086253
250010605000008,Paraiba,ÁGUA BRANCA,Rural,552,233,18,11,289,1,266,213,0.4221014492753623,0.03260869565217391,0.019927536231884056,0.5235507246376812,0.0018115942028985507,0.5553235908141962,0.44202898550724634,0.5579710144927537
250010605000009,Paraiba,ÁGUA BRANCA,Rural,785,370,31,12,372,0,561,568,0.4713375796178344,0.03949044585987261,0.015286624203821656,0.47388535031847134,0,0.49689991142604073,0.48662420382165605,0.513375796178344
250010605000010,Paraiba,ÁGUA BRANCA,Rural,581,194,2,24,361,0,184,336,0.33390705679862304,0.0034423407917383822,0.04130808950086059,0.621342512908778,0,0.35384615384615387,0.3752151462994836,0.6247848537005163
250010605000011,Paraiba,ÁGUA BRANCA,Urbano,1144,466,14,19,645,0,NA,NA,0.40734265734265734,0.012237762237762238,0.016608391608391608,0.5638111888111889,0,NA,0.42395104895104896,0.576048951048951
250010605000012,Paraiba,ÁGUA BRANCA,Rural,177,59,17,0,101,0,NA,NA,0.3333333333333333,0.096045197740113,0,0.5706214689265536,0,NA,0.3333333333333333,0.6666666666666666
250010605000013,Paraiba,ÁGUA BRANCA,Rural,165,59,13,0,93,0,NA,NA,0.3575757575757576,0.07878787878787878,0,0.5636363636363636,0,NA,0.3575757575757576,0.6424242424242423
250010605000014,Paraiba,ÁGUA BRANCA,Rural,626,236,4,1,385,0,NA,NA,0.3769968051118211,0.006389776357827476,0.001597444089456869,0.6150159744408946,0,NA,0.378594249201278,0.6214057507987221
250020505000001,Paraiba,AGUIAR,Urbano,1014,435,13,1,564,1,748,499,0.4289940828402367,0.01282051282051282,9.861932938856016e-4,0.5562130177514792,9.861932938856016e-4,0.5998396150761829,0.4299802761341223,0.5700197238658776
250020505000002,Paraiba,AGUIAR,Urbano,693,273,12,0,408,0,462,327,0.3939393939393939,0.017316017316017316,0,0.5887445887445888,0,0.5855513307984791,0.3939393939393939,0.6060606060606061
250020505000003,Paraiba,AGUIAR,Rural,344,128,4,14,198,0,246,179,0.37209302325581395,0.011627906976744186,0.040697674418604654,0.5755813953488372,0,0.5788235294117647,0.4127906976744186,0.5872093023255814
250020505000004,Paraiba,AGUIAR,Rural,289,130,1,0,158,0,138,104,0.44982698961937717,0.0034602076124567475,0,0.5467128027681661,0,0.5702479338842975,0.44982698961937717,0.5501730103806229
250020505000005,Paraiba,AGUIAR,Rural,129,41,0,0,88,0,46,78,0.3178294573643411,0,0,0.6821705426356589,0,0.3709677419354839,0.3178294573643411,0.6821705426356589
250020505000006,Paraiba,AGUIAR,Rural,617,260,10,2,345,0,260,353,0.4213938411669368,0.01620745542949757,0.0032414910858995136,0.5591572123176661,0,0.42414355628058725,0.4246353322528363,0.5753646677471637
250020505000007,Paraiba,AGUIAR,Rural,422,181,0,3,238,0,264,171,0.42890995260663506,0,0.0071090047393364926,0.5639810426540285,0,0.6068965517241379,0.43601895734597157,0.5639810426540285
250020505000008,Paraiba,AGUIAR,Rural,194,63,7,1,123,0,128,126,0.3247422680412371,0.03608247422680412,0.005154639175257732,0.634020618556701,0,0.5039370078740157,0.32989690721649484,0.6701030927835051
250020505000009,Paraiba,AGUIAR,Rural,810,286,20,13,491,0,507,439,0.3530864197530864,0.024691358024691357,0.016049382716049384,0.6061728395061728,0,0.5359408033826638,0.3691358024691358,0.6308641975308642
250020505000010,Paraiba,AGUIAR,Rural,24,5,0,0,19,0,16,22,0.20833333333333334,0,0,0.7916666666666666,0,0.42105263157894735,0.20833333333333334,0.7916666666666666
250020505000011,Paraiba,AGUIAR,Urbano,994,449,22,2,521,0,NA,NA,0.4517102615694165,0.022132796780684104,0.002012072434607646,0.5241448692152918,0,NA,0.4537223340040242,0.5462776659959759
