NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,tema
Ciência Da Computação (Bacharelado) (13277),UFBA,BA,67,Infraestrutura,"A instituição promoveu atividades de cultura, de lazer e de interação social.",4.213114754098361,61,23,Atividades de cultura lazer
Ciência Da Computação (Bacharelado) (37862),FACAPE,PE,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,4.213114754098361,61,33,Bibliografia
Ciência Da Computação (Bacharelado) (127),UNB,DF,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,4.211538461538462,52,40,Reflexão e argumentação
Ciência Da Computação (Bacharelado) (20833),UNI-BH,MG,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",4.2105263157894735,57,40,Oport. de extensão
Ciência Da Computação (Bacharelado) (14217),UFSC,SC,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,4.2075471698113205,53,37,Avaliações
Ciência Da Computação (Bacharelado) (1904),PUCRS,RS,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",4.2075471698113205,53,27,Diversidade
Ciência Da Computação (Bacharelado) (12710),UFF,RJ,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,4.2063492063492065,63,33,Teoria e prática
Ciência Da Computação (Bacharelado) (14098),UFG,GO,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,4.206349206349206,63,32,Comunicação oral e escrita
Ciência Da Computação (Bacharelado) (614),UFSCAR,SP,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,4.202898550724638,69,34,Bibliografia
Ciência Da Computação (Bacharelado) (14217),UFSC,SC,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,4.2,55,41,Reflexão e argumentação
Ciência Da Computação (Bacharelado) (2209),UECE,CE,68,Infraestrutura,"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.",4.2,65,36,"Refeitório, cantina e banheiros"
Ciência Da Computação (Bacharelado) (66272),UNINOVE,SP,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,4.2,80,37,Quant. de Funcionários
Ciência Da Computação (Bacharelado) (12946),UFMG,MG,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,4.197183098591549,71,25,Aprendizagem inovadora
Ciência Da Computação (Bacharelado) (12946),UFMG,MG,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.197183098591549,71,28,Planos de ensino
Ciência Da Computação (Bacharelado) (15002),UFPEL,RS,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,4.197183098591549,71,36,Equipamentos suficientes
Ciência Da Computação (Bacharelado) (20833),UNI-BH,MG,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,4.196428571428571,56,26,Aprendizagem inovadora
Ciência Da Computação (Bacharelado) (13595),UFPE,PE,37,"Ensino, apoio e avaliacão",As relações professor-aluno ao longo do curso estimularam você a estudar e aprender.,4.1946902654867255,113,27,Relações professor-aluno
Ciência Da Computação (Bacharelado) (1904),PUCRS,RS,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,4.193548387096774,62,33,Monitores
Ciência Da Computação (Bacharelado) (107920),FAC. PITÁGORAS DE SÃO LUIZ,MA,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,4.184210526315789,76,37,Equipamentos suficientes
Ciência Da Computação (Bacharelado) (12946),UFMG,MG,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,4.183098591549296,71,36,Consciência ética
Ciência Da Computação (Bacharelado) (3211),UNESP,SP,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,4.181818181818182,66,29,Coordenação disponível
Ciência Da Computação (Bacharelado) (85783),UFRJ,RJ,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",4.181034482758621,116,41,Formação cidadã e profissional
Ciência Da Computação (Bacharelado) (1452),UFU,MG,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",4.17948717948718,78,28,Diversidade
Ciência Da Computação (Bacharelado) (513),UFPI,PI,48,Curso em geral,"As atividades práticas foram suficientes para relacionar os conteúdos do curso com a prática, contribuindo para sua formação profissional.",4.176470588235294,51,23,Atividades práticas suficientes
Ciência Da Computação (Bacharelado) (127),UNB,DF,45,Curso em geral,O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.,4.1764705882352935,51,36,Eventos
Ciência Da Computação (Bacharelado) (127),UNB,DF,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,4.1764705882352935,51,34,Teoria e prática
Ciência Da Computação (Bacharelado) (19047),UNIPÊ,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,4.1764705882352935,51,38,Iniciação científica
Ciência Da Computação (Bacharelado) (18974),MACKENZIE,SP,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,4.173913043478261,92,33,Comunicação oral e escrita
Ciência Da Computação (Bacharelado) (5000356),UERJ,RJ,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,4.173076923076923,104,32,Metodologias de ensino
Ciência Da Computação (Bacharelado) (1102342),UFABC,SP,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,4.171875,64,30,Coordenação disponível
Ciência Da Computação (Bacharelado) (12946),UFMG,MG,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,4.171428571428571,70,31,Coordenação disponível
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,40,"Ensino, apoio e avaliacão",Foram oferecidas oportunidades para os estudantes superarem dificuldades relacionadas ao processo de formação.,4.1692307692307695,65,18,Ajuda com dificuldades
Ciência Da Computação (Bacharelado) (1904),PUCRS,RS,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",4.166666666666666,60,33,Pensamento crítico
Ciência Da Computação (Bacharelado) (12581),UFPR,PR,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,4.163934426229508,61,35,Bibliografia
Ciência Da Computação (Bacharelado) (85783),UFRJ,RJ,52,Curso em geral,Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios no país.,4.163043478260869,92,21,Oport. Intercâmbio no país
Ciência Da Computação (Bacharelado) (15002),UFPEL,RS,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",4.161290322580645,62,29,Diversidade
Ciência Da Computação (Bacharelado) (12581),UFPR,PR,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,4.158730158730158,63,32,Conteúdo atualizado
Ciência Da Computação (Bacharelado) (37862),FACAPE,PE,37,"Ensino, apoio e avaliacão",As relações professor-aluno ao longo do curso estimularam você a estudar e aprender.,4.158730158730158,63,28,Relações professor-aluno
Ciência Da Computação (Bacharelado) (127),UNB,DF,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",4.1568627450980395,51,35,Particip. em avaliações do curso
Ciência Da Computação (Bacharelado) (66272),UNINOVE,SP,45,Curso em geral,O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.,4.153846153846154,78,37,Eventos
Ciência Da Computação (Bacharelado) (85783),UFRJ,RJ,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,4.146551724137931,116,33,Metodologias de ensino
Ciência Da Computação (Bacharelado) (66272),UNINOVE,SP,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,4.146341463414634,82,33,Conteúdo útil p/ prática
Ciência Da Computação (Bacharelado) (2209),UECE,CE,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",4.145161290322581,62,36,Particip. em avaliações do curso
Ciência Da Computação (Bacharelado) (3211),UNESP,SP,52,Curso em geral,Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios no país.,4.145161290322581,62,22,Oport. Intercâmbio no país
Ciência Da Computação (Bacharelado) (37862),FACAPE,PE,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,4.145161290322581,62,34,Metodologias de ensino
Ciência Da Computação (Bacharelado) (85783),UFRJ,RJ,46,Curso em geral,A instituição ofereceu oportunidades para os estudantes atuarem como representantes em órgãos colegiados.,4.142857142857143,63,21,Participação dos alunos
Ciência Da Computação (Bacharelado) (1904),PUCRS,RS,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,4.142857142857142,63,37,Consciência ética
Ciência Da Computação (Bacharelado) (2209),UECE,CE,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.140625,64,29,Planos de ensino
Ciência Da Computação (Bacharelado) (20833),UNI-BH,MG,48,Curso em geral,"As atividades práticas foram suficientes para relacionar os conteúdos do curso com a prática, contribuindo para sua formação profissional.",4.140350877192982,57,24,Atividades práticas suficientes
Ciência Da Computação (Bacharelado) (37862),FACAPE,PE,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,4.137931034482759,58,34,Conteúdo útil p/ prática
