NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,tema
Pedagogia (Licenciatura) (13452),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.689655172413794,29,1,Capacidade de se atualizar
Pedagogia (Licenciatura) (13452),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.689655172413793,29,1,Formação cidadã e profissional
Letras-Português (Licenciatura) (1160083),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.681818181818182,44,2,Pensamento crítico
Letras-Português (Licenciatura) (1160083),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.681818181818182,44,2,Comunicação oral e escrita
Letras-Português (Licenciatura) (1158116),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.678571428571429,28,1,TCC
Letras-Português (Licenciatura) (1158116),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.677419354838709,31,2,Exigiu org. e dedicação
Letras-Português (Licenciatura) (1158116),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.677419354838709,31,1,Profs dominam assunto
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.659574468085107,47,3,Consciência ética
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.659574468085106,47,3,Pensamento crítico
Pedagogia (Licenciatura) (13452),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.655172413793103,29,1,Diversidade
